block_id,hash,time,size,version,lock_time,is_coinbase,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,cdd_total
509276,da27e7b61533b90d0821d7b77564679299a3848e5d288847eefe9477d70315ae,12/20/17 07:52,1260,1,509275,0,8,2,1002429214,40640.082,1001000604,40582.1641,1428610,57.9181,1133820,45.9668,0
509478,5b224864dacab0041e1a596ac5746c6485b69bf9ac5a8d1089c1c76f4bfa1f35,12/21/17 19:16,1657,2,324342,0,9,1,200072851,6929.4829,198408851,6871.8511,1664000,57.6323,1004220,34.7811,4671.849306
509234,a006da674f810f32eced46edc25a6c6943891e7ecd7454091463d8af75676899,12/20/17 02:33,11283,2,0,0,76,2,10164865383,412099.9062,10163465383,412043.125,1400000,56.7582,124080,5.0304,24.07062128
509601,ff51b9a33dd1d6d3ff3eb92e92222052b35c0f2136fa21f0fe0543e8a8419092,12/22/17 17:20,4206,1,509600,0,28,2,1002964087,28810.4453,1001000022,28754.0254,1964065,56.4184,466967,13.4138,0
509148,47f3d4d435821a800ec0d0c729c28c2737f120d262d04d18659fa7996868ee73,12/19/17 17:12,5535,1,509147,0,37,2,1003072851,27100.6211,1001000016,27044.6172,2072835,56.003,374496,10.118,0.011255201
509450,add6bd5c6bdcc2041a2b39ce0960adad80313b7bf718b1a03269507f66803d93,12/21/17 13:53,6564,1,0,0,44,2,814918641,28224.5449,813315361,28169.0156,1603280,55.5293,244254,8.4597,3844.821585
509846,b07be54901014d9c89303b95a0b6072c8995b7698e6a167e2944672aa15b2a31,12/24/17 11:22,4358,1,509845,0,29,2,1003020292,27552.7676,1001000017,27497.2695,2020275,55.4966,463578,12.7344,0.002895023
509631,ab5c965a252ac3e6763d9a0df505b9847d02abf60fd9126fe5442c928bd8c8a2,12/23/17 00:32,38675,1,0,0,215,2,291128386,10053.7695,289533486,9998.6914,1594900,55.078,41238.5,1.4241,2493.056456
509506,b79d7e8c495c606cfe4e09d04001d6b6f271f53c7f58d6f4d8f3f7b7859d1b7f,12/22/17 00:30,4652,1,509505,0,31,2,1002912745,28808.9707,1001000145,28754.0293,1912600,54.94,411135,11.81,0.049161057
509394,8b13aaae91e1e769f7515a7f6c0bce2518dd6883db623cdb61f568db8fe2f952,12/21/17 03:53,31467,1,0,0,213,1,274314231,9500.8184,272735831,9446.1514,1578400,54.6676,50160.5,1.7373,3710.073787
509520,3a8e35673aba7fd0fb0c65b724ff867126a1e3386afc56e98e0090a33e9df97b,12/22/17 03:46,14971,2,0,0,101,2,20569846397,590875,20567946397,590820.4375,1900000,54.5781,126912,3.6456,0.527886018
509855,f37448bc19ba413c2e6e856dbba41b19ac022c797f559a8a4c8269e253929dfe,12/24/17 13:35,1110,1,509853,0,7,2,1002966312,27551.2832,1001000057,27497.2715,1966255,54.0126,1771400,48.66,0
509467,2ca3b3617ad5ccd9781283543688ee59674d6a4810a0d03b72628cbfd291b0a5,12/21/17 17:12,35228,1,0,0,119,1,66322656,2297.072,64773456,2243.4158,1549200,53.6562,43976.4,1.5231,396.4389658
509612,f11ee9c1eb7fee764cab216b88e22b5665c938ea294bb1de4a9588985df56b43,12/22/17 20:49,1847,1,509611,0,12,2,1002804929,28805.873,1001000004,28754.0254,1804925,51.847,977220,28.0709,0
509527,06f81e2be9a86ca07bcd36a174fd79b67b7269a2b9c7aac68d444b8931780576,12/22/17 05:55,9214,1,0,0,25,54,51810138189,1488261.75,51808338189,1488210.125,1800000,51.7055,195355,5.6116,1128.769263
509277,c5ffb0532cac652d52c6151b808d66d3598fcb6be081c97f20cafa8324ad723f,12/20/17 08:05,2731,1,509275,0,18,2,1002265640,40633.4531,1001000185,40582.1484,1265455,51.3036,463367,18.7856,0
